"dim_deviceCategory","dim_browser","sessions","transactions","QTY","rank_sessions","rank_transactions","rank_QTY","pct_sessions","cum_pct_sessions","pct_transactions","cum_pct_transactions","pct_QTY","cum_pct_QTY"
"mobile","Safari",2663112,36153,64145,1,4,4,0.255603631588055,0.255603631588055,0.144811840339669,0.803829284412489,0.142282013175698,0.837987711554244
"desktop","Chrome",1954932,59833,114014,2,1,1,0.187633009316807,0.443236640904862,0.239662734573712,0.239662734573712,0.25289798815518,0.25289798815518
"tablet","Safari",1894864,47324,87834,3,3,3,0.181867724588928,0.62510436549379,0.189557589473473,0.65901744407282,0.194827318501431,0.695705698378546
"desktop","Safari",1394280,57370,111797,4,2,2,0.133822021548697,0.758926387042487,0.229797120025635,0.469459854599347,0.247980391721935,0.500878379877116
"desktop","Firefox",489450,17313,31158,5,5,5,0.0469770694889189,0.805903456531406,0.0693476998257595,0.873176984238249,0.0691125257857729,0.907100237340017
